,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode
0,95015,54,Moderate,2017-10-09 ,37.33,-121.9,OZONE,San Jose,CA
1,95015,47,Good,2017-10-09 ,37.33,-121.9,PM2.5,San Jose,CA
2,94505,45,Good,2017-10-10 ,37.9699,-121.3067,OZONE,Stockton,CA
3,94505,77,Moderate,2017-10-10 ,37.9699,-121.3067,PM2.5,Stockton,CA
4,95486,39,Good,2017-10-11 ,38.45,-122.7,OZONE,Santa Rosa,CA
5,95486,80,Moderate,2017-10-11 ,38.45,-122.7,PM2.5,Santa Rosa,CA
6,94524,48,Good,2017-10-12 ,37.97,-122.03,OZONE,Concord,CA
7,94524,155,Unhealthy,2017-10-12 ,37.97,-122.03,PM2.5,Concord,CA
8,94542,49,Good,2017-10-13 ,37.55,-122.03,OZONE,Fremont,CA
9,94542,152,Unhealthy,2017-10-13 ,37.55,-122.03,PM2.5,Fremont,CA
10,94506,39,Good,2017-10-14 ,37.97,-122.03,OZONE,Concord,CA
11,94506,91,Moderate,2017-10-14 ,37.97,-122.03,PM2.5,Concord,CA
12,94547,43,Good,2017-10-15 ,37.97,-122.52,OZONE,San Rafael,CA
13,94547,41,Good,2017-10-15 ,37.97,-122.52,PM2.5,San Rafael,CA
14,95377,64,Moderate,2017-10-15 ,37.9699,-121.3067,OZONE,Stockton,CA
15,95377,72,Moderate,2017-10-15 ,37.9699,-121.3067,PM2.5,Stockton,CA
16,94562,48,Good,2017-10-09 ,38.33,-122.28,OZONE,Napa,CA
17,94562,167,Unhealthy,2017-10-09 ,38.33,-122.28,PM2.5,Napa,CA
18,95445,58,Moderate,2017-10-10 ,39.4117,-123.3526,OZONE,Mendocino County,CA
19,95445,161,Unhealthy,2017-10-10 ,39.4117,-123.3526,PM2.5,Mendocino County,CA
20,95445,62,Moderate,2017-10-10 ,39.4117,-123.3526,PM10,Mendocino County,CA
21,95154,54,Moderate,2017-10-11 ,37.33,-121.9,OZONE,San Jose,CA
22,95154,114,Unhealthy for Sensitive Groups,2017-10-11 ,37.33,-121.9,PM2.5,San Jose,CA
23,95406,34,Good,2017-10-12 ,38.45,-122.7,OZONE,Santa Rosa,CA
24,95406,67,Moderate,2017-10-12 ,38.45,-122.7,PM2.5,Santa Rosa,CA
25,94044,27,Good,2017-10-13 ,37.75,-122.43,OZONE,San Francisco,CA
26,94044,98,Moderate,2017-10-13 ,37.75,-122.43,PM2.5,San Francisco,CA
27,94014,31,Good,2017-10-14 ,37.75,-122.43,OZONE,San Francisco,CA
28,94014,69,Moderate,2017-10-14 ,37.75,-122.43,PM2.5,San Francisco,CA
29,94603,49,Good,2017-10-15 ,37.8,-122.27,OZONE,Oakland,CA
30,94603,53,Moderate,2017-10-15 ,37.8,-122.27,PM2.5,Oakland,CA
31,95430,49,Good,2017-10-15 ,38.45,-122.7,OZONE,Santa Rosa,CA
32,95430,67,Moderate,2017-10-15 ,38.45,-122.7,PM2.5,Santa Rosa,CA
