,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode,type,coordinates,geometry
0,95015,54,Moderate,2017-10-09,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1,95015,47,Good,2017-10-09,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
2,94505,45,Good,2017-10-10,37.9699,-121.3067,OZONE,Stockton,CA,Point,"[37.9699, -121.3067]","['Point', [37.9699, -121.3067]]"
3,94505,77,Moderate,2017-10-10,37.9699,-121.3067,PM2.5,Stockton,CA,Point,"[37.9699, -121.3067]","['Point', [37.9699, -121.3067]]"
4,95486,39,Good,2017-10-11,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
5,95486,80,Moderate,2017-10-11,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
6,94524,48,Good,2017-10-12,37.97,-122.03,OZONE,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
7,94524,155,Unhealthy,2017-10-12,37.97,-122.03,PM2.5,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
8,94542,49,Good,2017-10-13,37.55,-122.03,OZONE,Fremont,CA,Point,"[37.55, -122.03]","['Point', [37.55, -122.03]]"
9,94542,152,Unhealthy,2017-10-13,37.55,-122.03,PM2.5,Fremont,CA,Point,"[37.55, -122.03]","['Point', [37.55, -122.03]]"
10,94506,39,Good,2017-10-14,37.97,-122.03,OZONE,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
11,94506,91,Moderate,2017-10-14,37.97,-122.03,PM2.5,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
12,94547,43,Good,2017-10-15,37.97,-122.52,OZONE,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
13,94547,41,Good,2017-10-15,37.97,-122.52,PM2.5,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
14,95377,64,Moderate,2017-10-15,37.9699,-121.3067,OZONE,Stockton,CA,Point,"[37.9699, -121.3067]","['Point', [37.9699, -121.3067]]"
15,95377,72,Moderate,2017-10-15,37.9699,-121.3067,PM2.5,Stockton,CA,Point,"[37.9699, -121.3067]","['Point', [37.9699, -121.3067]]"
16,94562,48,Good,2017-10-09,38.33,-122.28,OZONE,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
17,94562,167,Unhealthy,2017-10-09,38.33,-122.28,PM2.5,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
18,95445,58,Moderate,2017-10-10,39.4117,-123.3526,OZONE,Mendocino County,CA,Point,"[39.4117, -123.3526]","['Point', [39.4117, -123.3526]]"
19,95445,161,Unhealthy,2017-10-10,39.4117,-123.3526,PM2.5,Mendocino County,CA,Point,"[39.4117, -123.3526]","['Point', [39.4117, -123.3526]]"
20,95445,62,Moderate,2017-10-10,39.4117,-123.3526,PM10,Mendocino County,CA,Point,"[39.4117, -123.3526]","['Point', [39.4117, -123.3526]]"
21,95154,54,Moderate,2017-10-11,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
22,95154,114,Unhealthy for Sensitive Groups,2017-10-11,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
23,95406,34,Good,2017-10-12,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
24,95406,67,Moderate,2017-10-12,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
25,94044,27,Good,2017-10-13,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
26,94044,98,Moderate,2017-10-13,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
27,94014,31,Good,2017-10-14,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
28,94014,69,Moderate,2017-10-14,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
29,94603,49,Good,2017-10-15,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
30,94603,53,Moderate,2017-10-15,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
31,95430,49,Good,2017-10-15,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
32,95430,67,Moderate,2017-10-15,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
33,94533,44,Good,2017-10-09,38.25,-122.04,OZONE,Fairfield,CA,Point,"[38.25, -122.04]","['Point', [38.25, -122.04]]"
34,94533,97,Moderate,2017-10-09,38.25,-122.04,PM2.5,Fairfield,CA,Point,"[38.25, -122.04]","['Point', [38.25, -122.04]]"
35,94303,35,Good,2017-10-10,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
36,94020,31,Good,2017-10-11,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
37,94020,126,Unhealthy for Sensitive Groups,2017-10-11,37.48,-122.22,PM2.5,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
38,95136,67,Moderate,2017-10-12,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
39,95136,99,Moderate,2017-10-12,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
40,95158,61,Moderate,2017-10-13,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
41,95158,136,Unhealthy for Sensitive Groups,2017-10-13,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
42,94089,43,Good,2017-10-14,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
