,zip,AQI,Category,DateObserved,HourObserved,Latitude,LocalTimeZone,Longitude,ParameterName,ReportingArea,StateCode
0,95452,25,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
1,94960,27,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
2,94960,33,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
3,94972,27,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
4,94972,6,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
5,94666,25,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
6,94666,44,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
7,94118,31,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.75,PST,-122.43,OZONE,San Francisco,CA
8,94118,41,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
9,94952,31,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
10,94952,38,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
11,95055,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
12,95055,25,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
13,94403,38,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
14,94403,20,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
15,95401,25,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
16,95141,31,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
17,95141,15,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
